ParentCommit	ChildCommit	Comment
3505323e6b492eff798c7eee439c758af8af6a7d	22d3bda1b20aa0188837bc8463ed55f8ba074c45	typo fixed 
2214fc4de31672a6284b6477102abf60f54e4565	2214fc4de31672a6284b6477102abf60f54e4565	updated third party libraries to the latest versions 
2214fc4de31672a6284b6477102abf60f54e4565	f020aacf58a2177047c23145554a2a557a0833d3	updated some third party libraries to the latest version  
2214fc4de31672a6284b6477102abf60f54e4565	0955cd37a4dc78a9ebc38570affd373bbc600865	updated third party libraries to the latest version 
2214fc4de31672a6284b6477102abf60f54e4565	31b655c8fce6d2d400dfa7b8972fc2a4f26af114	updated some third party libraries to the latest version  
2214fc4de31672a6284b6477102abf60f54e4565	7620c8b734101f8d3689063fa0f8afb308a12c0e	updated all third party libraries to the latest version 
2214fc4de31672a6284b6477102abf60f54e4565	db5f3fd70ce13474c40ef23393a8770ce4420fec	updated all third party libraries to the latest version 
ed7e650329c1cc0e186f70e143ad0a1ecc5a9360	ed7e650329c1cc0e186f70e143ad0a1ecc5a9360	  #12587 searching did not work well with  catalogsettings productsearchtermminimumlength  set to 0   use  placeholder  for earch box of facebook shop plugin 
ed7e650329c1cc0e186f70e143ad0a1ecc5a9360	5318168dd65dad3ed8c87d9d33ec941c265c0934	#12587 we should not get  enter some keyword     warning when we click the search button in the search box and catalogsettings productsearchtermminimumlength is set to 0  
db1aecf1318b233fb9bef460d50226bcfe52e525	db1aecf1318b233fb9bef460d50226bcfe52e525	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	fe73043df930dce10b584890216f90b72355925d	minor refactoring of  edtoolbar  
db1aecf1318b233fb9bef460d50226bcfe52e525	6845d53f505705bbaf2f5de77c71912b1d08e50c	#12621 minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	ab1ea6c00b22a79b689afbcc0805793fce2f2a15	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	165247f99f7af7b2c95d6b02b8f229b2b022ca1d	minor refactoring of themeablevirtualpathproviderviewengine  
db1aecf1318b233fb9bef460d50226bcfe52e525	cae2f22370f28677066fceb68d15d08365e0ee89	minor refactoring of queuedemailservice  
db1aecf1318b233fb9bef460d50226bcfe52e525	0c4a03add943ff6688ee6863f5ffc767209b75dd	minor refactoring  
db1aecf1318b233fb9bef460d50226bcfe52e525	0d3073a2d06a7479b7be2b6576f02140897a6b7f	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	19e8184f23cce28be07d8fc78235e248b9168c6c	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	3ab2c5ccc1ab46159e2aed905a365658bad81e16	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	37e05c847ebc02bbdf1a0b86c0f8cade23870825	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	d758a9d185a32aade3368d45cf08a1a4caf34ea5	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	936effbf9bc8300e74730896e8633423a47a6d03	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	6f0ca30162cb2044a6d651a9ecaff83191fb5ac1	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	9ad68c8899b6dbe71b645db72659adf2f56108b1	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	b732561c2121112d10adf5ee0cf32a25785c2163	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	1ff8608a202b81d6d69b419e61d9be609ddbd844	minor refactoring of checkoutcontroller 
db1aecf1318b233fb9bef460d50226bcfe52e525	54e5060d7a0f8ab164e830dd35b6fc2e9ce67f8e	css minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	cfbed032b6cec968fbb5ae6967d971c6fe17e71e	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	ea56a530b4168c7e422a5a96e9b000f8eb401c73	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	a8f856ec5b8086136d5ad445316437793654a18e	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	403723c8e9e9138de3812ea2535fbae10327b5e2	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	cb6d61e4e90eb6b11e94990c1bda6db0217b14a2	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	742ee127d00a928a2b0667a4a5c96a9286df2615	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	e1dbea9093de80e3b1be79c974a19bb03b419db1	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	b0925571429a0a29136b0b3a3ec5b079e893b6dd	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	2d99c546c4dd3735db079ef359ad60d86eb7afae	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	1b799de567ee54e6d5779c875f94436c10c801f5	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	498347bc17e41635cf6d3f7bfe548c78573c63d3	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	825a95d15372102689024d1c88112de054c77a09	minor html refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	af8b0a768971236258c82095891af1aee114b964	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	03d7c8ba24500baec68dbde3cf8bcbe4ee3837c1	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	a8d3b91fe74186d93c7dfc8db30102551006fbed	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	08202807efcbd9c04364135254eef619f23adcad	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	543911effba41068ee008c8300f045dea2c553e3	minor refactoring of orderprocessingservice 
db1aecf1318b233fb9bef460d50226bcfe52e525	65f2fe2da23d38478b2bd9371db7b5b33574624e	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	9a3ac68937be55297b32b79349c39c5b45c315b8	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	755142dd5f691f7e8108c75e4c6689fd2119b638	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	6c92bf974567c2cb0f3470dbb13923f2f5dfa074	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	579e0cc53cf5b0691064f72590ff6dd383c1136f	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	e72312cf73bc09a8a3c302ff2a126f2de01fc537	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	aaa8cbe69790ded3ba17eb3c86dca33d87db7365	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	3a285c4b248750f610b9ff48d7f9f9151be74439	minor refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	1b6f28d31d2772e01e0b53d27163a54066b63cfd	minor html refactoring 
db1aecf1318b233fb9bef460d50226bcfe52e525	475342c9d0ff5824bd28997679444ef396430439	minor refactoring of pluginmanager 
